id_fornecedor,nome_fornecedor,cnpj,email,telefone,endereco,cidade,estado,cep,responsavel,status,data_cadastro,observacoes
FOR001,Dell Brasil,12.345.678/0001-90,contato@dell.com.br,(11) 3000-0000,Av. Paulista 1000,São Paulo,SP,01310-100,João Silva,Ativo,2024-01-01,Fornecedor oficial Dell
FOR002,HP Brasil,98.765.432/0001-10,contato@hp.com.br,(11) 4000-0000,Rua Augusta 500,São Paulo,SP,01212-000,Maria Santos,Ativo,2024-01-02,Fornecedor oficial HP
FOR003,Apple Brasil,11.222.333/0001-44,contato@apple.com.br,(11) 5000-0000,Av. Brigadeiro Faria Lima 2000,São Paulo,SP,01452-002,Pedro Costa,Ativo,2024-01-03,Fornecedor oficial Apple
FOR004,Lenovo Brasil,44.555.666/0001-77,contato@lenovo.com.br,(11) 6000-0000,Rua Oscar Freire 100,São Paulo,SP,01426-001,Ana Oliveira,Ativo,2024-01-04,Fornecedor oficial Lenovo
FOR005,Logitech,77.888.999/0001-33,contato@logitech.com.br,(11) 7000-0000,Av. Rebouças 1000,São Paulo,SP,05402-000,Carlos Lima,Ativo,2024-01-05,Fornecedor oficial Logitech
FOR006,Samsung Brasil,22.333.444/0001-55,contato@samsung.com.br,(11) 8000-0000,Av. Morumbi 800,São Paulo,SP,05607-000,Juliana Silva,Ativo,2024-01-06,Fornecedor oficial Samsung
FOR007,Anker Brasil,33.444.555/0001-66,contato@anker.com.br,(11) 9000-0000,Rua Pamplona 200,São Paulo,SP,01405-000,Roberto Santos,Ativo,2024-01-07,Fornecedor oficial Anker
FOR008,Corsair Gaming,55.666.777/0001-88,contato@corsair.com.br,(11) 1000-0000,Av. Jabaquara 1000,São Paulo,SP,04046-000,Fernando Costa,Ativo,2024-01-08,Fornecedor oficial Corsair
FOR009,Plantronics,66.777.888/0001-99,contato@plantronics.com.br,(11) 1100-0000,Rua Bela Cintra 300,São Paulo,SP,01415-000,Patrícia Lima,Ativo,2024-01-09,Fornecedor oficial Plantronics
FOR010,JBL Brasil,88.999.000/0001-11,contato@jbl.com.br,(11) 1200-0000,Av. São João 500,São Paulo,SP,01035-000,Ricardo Silva,Ativo,2024-01-10,Fornecedor oficial JBL
