tag,itens,categoria,modelo,serial,marca,valor,data_compra,fornecedor,po,nota_fiscal,uso,qtd,prateleira,rua,setor,box,conferido,local,codigo,data_entrada,sku,motivo
MON001,"Monitor LG 27""",tv e monitor,27GL850-B,LG27GL001,LG,2200.0,2024-01-25,LG Electronics,PO-MON-001,NF-002001,Design/Video,15,Prateleira D,Rua D1,Monitor Zone Delta,Caixa D1,True,,,,SKU-MON001,
MON002,"TV Samsung 55""",tv e monitor,UN55AU7000,SAM55AU001,Samsung,3500.0,2024-02-15,Samsung Brasil,PO-MON-002,NF-002002,Sala de Reunião,4,Prateleira E,Rua E1,AV Zone Echo,Caixa E1,False,,,,SKU-MON002,
MON003,"Monitor Dell 24""",tv e monitor,P2422H,DELLP24001,Dell,1800.0,2024-03-05,Dell Brasil,PO-MON-003,NF-002003,Escritório Geral,20,Prateleira D,Rua D1,Monitor Zone Delta,Caixa D2,True,,,,SKU-MON003,
MON004,Projetor BenQ,tv e monitor,MW632ST,BENQMW001,BenQ,4500.0,2024-02-28,BenQ Brasil,PO-MON-004,NF-002004,Apresentações,3,Prateleira E,Rua E2,AV Zone Echo,Caixa E2,True,,,,SKU-MON004,
MON005,Apple TV 4K,tv e monitor,MXGY2LL/A,APPLETV001,Apple,800.0,2024-03-15,Apple Brasil,PO-MON-005,NF-002005,Streaming/AirPlay,6,Prateleira D,Rua D1,Monitor Zone Delta,Caixa D3,False,,,,SKU-MON005,
AUD001,Headset Plantronics,audio e video,Voyager 4220,PLT4220001,Plantronics,1200.0,2024-01-18,Plantronics,PO-AUD-001,NF-003001,Call Center,30,Prateleira F,Rua F1,Audio Zone Foxtrot,Caixa F1,True,,,,SKU-AUD001,
AUD002,Caixa de Som JBL,audio e video,Charge 5,JBLCH5001,JBL,600.0,2024-02-22,JBL Brasil,PO-AUD-002,NF-003002,Eventos/Reuniões,8,Prateleira F,Rua F2,Audio Zone Foxtrot,Caixa F2,True,,,,SKU-AUD002,
AUD003,Microfone Blue Yeti,audio e video,Blue Yeti Nano,BLUYETI001,Blue Microphones,400.0,2024-03-08,Blue Microphones,PO-AUD-003,NF-003003,Podcast/Gravação,4,Prateleira G,Rua G1,Studio Zone Golf,Caixa G1,False,,,,SKU-AUD003,
AUD004,Webcam Logitech C920,audio e video,C920 HD Pro,LGTC920001,Logitech,350.0,2024-02-12,Logitech,PO-AUD-004,NF-003004,Videoconferência,18,Prateleira F,Rua F1,Audio Zone Foxtrot,Caixa F3,True,,,,SKU-AUD004,
AUD005,Adaptador USB-C Hub,audio e video,PowerExpand 11-in-1,ANKPOW001,Anker,300.0,2024-01-28,Anker Brasil,PO-AUD-005,NF-003005,Conectividade Hub,15,Prateleira C,Rua C2,TechStop Gamma,Caixa C3,True,,,,SKU-AUD005,
LIX001,Impressora HP Antiga,lixo eletrônico,LaserJet 1320,HPLJ1320001,HP,50.0,2023-01-10,HP Brasil,PO-LIX-001,NF-LIX001,Descarte Programado,5,Prateleira H,Rua H1,Lixo Zone Hotel,Caixa H1,False,,,,SKU-LIX001,
LIX002,Monitor CRT Dell,lixo eletrônico,UltraSharp 1901FP,DELL1901001,Dell,100.0,2022-05-15,Dell Brasil,PO-LIX-002,NF-LIX002,Descarte Programado,3,Prateleira H,Rua H1,Lixo Zone Hotel,Caixa H2,False,,,,SKU-LIX002,
LIX003,CPU Pentium 4,lixo eletrônico,OptiPlex GX280,DELLGX001,Dell,80.0,2021-03-20,Dell Brasil,PO-LIX-003,NF-LIX003,Descarte Programado,8,Prateleira I,Rua I1,Lixo Zone India,Caixa I1,True,,,,SKU-LIX003,
LIX004,Teclado PS/2 Antigo,lixo eletrônico,QuietKey KB212-B,DELLKB001,Dell,30.0,2020-08-10,Dell Brasil,PO-LIX-004,NF-LIX004,Descarte Programado,12,Prateleira I,Rua I2,Lixo Zone India,Caixa I2,False,,,,SKU-LIX004,
OUT001,Cabo HDMI Premium,outros,HDMI 2.1 Ultra High Speed,HDMI21001,Cabo Premium,80.0,2024-02-05,Cabo Premium Ltda,PO-OUT-001,NF-OUT001,Conectividade,50,Prateleira J,Rua J1,Outros Zone Juliet,Caixa J1,True,,,,SKU-OUT001,
OUT002,Hub USB 3.0,outros,Anker 10-Port USB 3.0,ANK10USB001,Anker,150.0,2024-01-12,Anker Brasil,PO-OUT-002,NF-OUT002,Expansão USB,20,Prateleira J,Rua J1,Outros Zone Juliet,Caixa J2,False,,,,SKU-OUT002,
OUT003,Suporte Monitor Ajustável,outros,Herman Miller Ollin,HMOLLIN001,Herman Miller,900.0,2024-03-12,Herman Miller,PO-OUT-003,NF-OUT003,Ergonomia,15,Prateleira K,Rua K1,Ergonomia Zone Kilo,Caixa K1,True,,,,SKU-OUT003,
