numero_nf,serie_nf,data_emissao,data_entrada,fornecedor_id,valor_total,valor_frete,valor_impostos,condicao_pagamento,observacoes,status,usuario_cadastro,data_cadastro
NF-001234,1,2024-01-15,2024-01-16,FOR001,42000.00,500.00,7560.00,30/60/90,Compra de notebooks Dell,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-01-16
NF-001235,1,2024-01-20,2024-01-21,FOR002,22400.00,300.00,4032.00,30/60,Compra de desktops HP,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-01-21
NF-001236,1,2024-02-10,2024-02-11,FOR003,25500.00,200.00,4590.00,30/60,Compra de MacBooks,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-02-11
NF-001237,1,2024-02-25,2024-02-26,FOR004,24000.00,400.00,4320.00,30/60,Compra de workstations,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-02-26
NF-001238,1,2024-03-01,2024-03-02,FOR003,21000.00,150.00,3780.00,30/60,Compra de iPads,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-03-02
NF-001239,1,2024-02-20,2024-02-21,FOR005,11250.00,100.00,2025.00,30/60,Compra de mouses Logitech,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-02-21
NF-001240,1,2024-03-10,2024-03-11,FOR008,5100.00,80.00,918.00,30/60,Compra de teclados Corsair,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-03-11
NF-001241,1,2024-01-30,2024-01-31,FOR006,8000.00,120.00,1440.00,30/60,Compra de SSDs Samsung,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-01-31
NF-002001,1,2024-01-25,2024-01-26,FOR006,33000.00,400.00,5940.00,30/60,Compra de monitores LG,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-01-26
NF-002002,1,2024-02-15,2024-02-16,FOR006,14000.00,200.00,2520.00,30/60,Compra de TVs Samsung,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-02-16
NF-002003,1,2024-03-05,2024-03-06,FOR001,36000.00,300.00,6480.00,30/60,Compra de monitores Dell,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-03-06
NF-002004,1,2024-02-28,2024-02-29,FOR004,13500.00,250.00,2430.00,30/60,Compra de projetores BenQ,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-02-29
NF-002005,1,2024-03-15,2024-03-16,FOR003,4800.00,80.00,864.00,30/60,Compra de Apple TVs,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-03-16
NF-003001,1,2024-01-18,2024-01-19,FOR009,36000.00,400.00,6480.00,30/60,Compra de headsets Plantronics,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-01-19
NF-003002,1,2024-02-22,2024-02-23,FOR010,4800.00,100.00,864.00,30/60,Compra de caixas de som JBL,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-02-23
NF-003003,1,2024-03-08,2024-03-09,FOR009,1600.00,50.00,288.00,30/60,Compra de microfones Blue,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-03-09
NF-003004,1,2024-02-12,2024-02-13,FOR005,6300.00,80.00,1134.00,30/60,Compra de webcams Logitech,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-02-13
NF-003005,1,2024-01-28,2024-01-29,FOR007,4500.00,60.00,810.00,30/60,Compra de adaptadores Anker,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-01-29
NF-LIX001,1,2023-01-10,2023-01-11,FOR002,250.00,30.00,45.00,30/60,Descarte de impressoras antigas,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2023-01-11
NF-LIX002,1,2022-05-15,2022-05-16,FOR001,300.00,40.00,54.00,30/60,Descarte de monitores CRT,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2022-05-16
NF-LIX003,1,2021-03-20,2021-03-21,FOR001,640.00,50.00,115.20,30/60,Descarte de CPUs antigas,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2021-03-21
NF-LIX004,1,2020-08-10,2020-08-11,FOR001,360.00,30.00,64.80,30/60,Descarte de teclados antigos,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2020-08-11
NF-OUT001,1,2024-02-05,2024-02-06,FOR007,4000.00,80.00,720.00,30/60,Compra de cabos HDMI,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-02-06
NF-OUT002,1,2024-01-12,2024-01-13,FOR007,3000.00,60.00,540.00,30/60,Compra de hubs USB,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-01-13
NF-OUT003,1,2024-03-12,2024-03-13,FOR007,13500.00,200.00,2430.00,30/60,Compra de suportes Herman Miller,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-03-13
NF-OUT004,1,2024-02-18,2024-02-19,FOR008,3000.00,50.00,540.00,30/60,Compra de mousepads Corsair,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-02-19
NF-OUT005,1,2024-01-22,2024-01-23,FOR007,6000.00,100.00,1080.00,30/60,Compra de filtros de linha,Recebida,danilo.fukuyama.digisystem@nubank.com.br,2024-01-23
